"","kegg_code","scientific_name","common_name"
"999","cfar","Citrobacter farmeri","Citrobacter farmeri"
"1000","cir","Citrobacter sp. CFNIH10","Citrobacter sp. CFNIH10"
"1001","cie","Citrobacter sp. CRE-46","Citrobacter sp. CRE-46"
"1002","cpar","Citrobacter pasteurii","Citrobacter pasteurii"
"1003","ctel","Citrobacter telavivensis","Citrobacter telavivensis"
"1004","citz","Citrobacter tructae","Citrobacter tructae"
"1005","cars","Citrobacter arsenatis","Citrobacter arsenatis"
"1006","bfl","Candidatus Blochmannia floridanus","Candidatus Blochmannia floridanus"
"1007","bpn","Candidatus Blochmannia pennsylvanicus","Candidatus Blochmannia pennsylvanicus"
"1008","bva","Candidatus Blochmannia vafer","Candidatus Blochmannia vafer"
"1009","bchr","Candidatus Blochmannia chromaiodes","Candidatus Blochmannia chromaiodes"
"1010","ben","Blochmannia endosymbiont of Camponotus","Colobopsis obliquus 757"
"1011","bed","Blochmannia endosymbiont of Polyrhachis","Hedomyrma turneri 675"
"1012","bec","Blochmannia endosymbiont of Colobopsis nipponica","Blochmannia endosymbiont of Colobopsis nipponica"
"1013","hde","Candidatus Hamiltonella defensa","Acyrthosiphon pisum"
"1014","sect","Secondary endosymbiont of Ctenarytaina eucalypti","Secondary endosymbiont of Ctenarytaina eucalypti"
"1015","sehc","Secondary endosymbiont of Heteropsylla cubana","Secondary endosymbiont of Heteropsylla cubana"
"1016","senm","Secondary endosymbiont of Trabutina mannipara","Secondary endosymbiont of Trabutina mannipara"
"1017","rip","Candidatus Riesia pediculicola","Candidatus Riesia pediculicola"
"1018","rig","Candidatus Riesia sp. GBBU","Candidatus Riesia sp. GBBU"
"1019","men","Candidatus Moranella endobia PCIT","Candidatus Moranella endobia PCIT"
"1020","meo","Candidatus Moranella endobia PCVAL","Candidatus Moranella endobia PCVAL"
"1021","ebt","Shimwellia blattae","Shimwellia blattae"
"1022","cnt","Cedecea neteri SSMD04","Cedecea neteri SSMD04"
"1023","cem","Cedecea neteri M006","Cedecea neteri M006"
"1024","cen","Cedecea neteri ND14a","Cedecea neteri ND14a"
"1025","clap","Cedecea lapagei","Cedecea lapagei"
"1026","pge","Pluralibacter gergoviae","Pluralibacter gergoviae"
"1027","esc","Enterobacter lignolyticus SCF1","Enterobacter lignolyticus SCF1"
"1028","kle","Enterobacter lignolyticus G5","Enterobacter lignolyticus G5"
"1029","ksa","Kosakonia sacchari","Kosakonia sacchari"
"1030","kor","Kosakonia oryzae","Kosakonia oryzae"
"1031","krd","Kosakonia radicincitans","Kosakonia radicincitans"
"1032","kco","Kosakonia cowanii","Kosakonia cowanii"
"1033","kot","Kosakonia sp. CCTCC M2018092","Kosakonia sp. CCTCC M2018092"
"1034","kpse","Kosakonia pseudosacchari","Kosakonia pseudosacchari"
"1035","kgo","Kluyvera genomosp. 3","Kluyvera genomosp. 3"
"1036","kie","Kluyvera intermedia","Kluyvera intermedia"
"1037","kas","Kluyvera ascorbata","Kluyvera ascorbata"
"1038","icp","Candidatus Ishikawaella capsulata","Candidatus Ishikawaella capsulata"
"1039","lax","Leclercia adecarboxylata","Leclercia adecarboxylata"
"1040","lei","Leclercia sp. LSNIH1","Leclercia sp. LSNIH1"
"1041","leh","Leclercia sp. LSNIH3","Leclercia sp. LSNIH3"
"1042","lee","Leclercia sp. W17","Leclercia sp. W17"
"1043","ler","Leclercia sp. Colony189","Leclercia sp. Colony189"
"1044","lea","Leclercia sp. J807","Leclercia sp. J807"
"1045","laz","Lelliottia amnigena","Lelliottia amnigena"
"1046","lef","Lelliottia jeotgali","Lelliottia jeotgali"
"1047","lew","Lelliottia sp. WB101","Lelliottia sp. WB101"
"1048","buf","Buttiauxella sp. 3AFRM03","Buttiauxella sp. 3AFRM03"
"1049","bage","Buttiauxella agrestis","Buttiauxella agrestis"
"1050","bft","Buttiauxella ferragutiae","Buttiauxella ferragutiae"
"1051","sbw","Candidatus Tachikawaea gelatinosa","Candidatus Tachikawaea gelatinosa"
"1052","den","Candidatus Doolittlea endobia","Candidatus Doolittlea endobia"
"1053","hed","Candidatus Hoaglandella endobia","Candidatus Hoaglandella endobia"
"1054","ged","Candidatus Gullanella endobia","Candidatus Gullanella endobia"
"1055","cmik","Candidatus Mikella endobia","Candidatus Mikella endobia"
"1056","ppet","Candidatus Purcelliella pentastirinorum","Candidatus Purcelliella pentastirinorum"
"1057","sym","Candidatus Symbiopectobacterium sp. SyEd1","Candidatus Symbiopectobacterium sp. SyEd1"
"1058","apin","Candidatus Annandia pinicola","Candidatus Annandia pinicola"
"1059","mety","Metakosakonia sp. MRY16-398","Metakosakonia sp. MRY16-398"
"1060","ahn","Atlantibacter hermannii","Atlantibacter hermannii"
"1061","yre","Yokenella regensburgei","Yokenella regensburgei"
"1062","sgoe","Scandinavium goeteborgense","Scandinavium goeteborgense"
"1063","kin","Phytobacter ursingii","Phytobacter ursingii"
"1064","pdz","Phytobacter diazotrophicus","Phytobacter diazotrophicus"
"1065","izh","Jejubacter calystegiae","Jejubacter calystegiae"
"1066","ptf","Candidatus Profftia tarda","Candidatus Profftia tarda"
"1067","plar","Candidatus Profftia lariciata","Candidatus Profftia lariciata"
"1068","sny","Candidatus Schneideria nysicola","Candidatus Schneideria nysicola"
"1069","pshi","Plesiomonas shigelloides","Plesiomonas shigelloides"
"1070","psgc","Pseudocitrobacter sp. G163CM","Pseudocitrobacter sp. G163CM"
"1071","ebf","Enterobacteriaceae bacterium FGI 57","Enterobacteriaceae bacterium FGI 57"
"1072","ebc","Enterobacteriaceae bacterium ENNIH2","Enterobacteriaceae bacterium ENNIH2"
"1073","ebu","Enterobacteriaceae bacterium S05","Enterobacteriaceae bacterium S05"
"1074","psts","Plautia stali symbiont","Plautia stali symbiont"
"1075","eep","Enterobacteriaceae endosymbiont of Plateumaris pusilla","Enterobacteriaceae endosymbiont of Plateumaris pusilla"
"1076","eem","Enterobacteriaceae endosymbiont of Macroplea mutica","Enterobacteriaceae endosymbiont of Macroplea mutica"
"1077","ype","Yersinia pestis CO92","biovar Orientalis"
"1078","ypk","Yersinia pestis KIM10+","biovar Mediaevalis"
"1079","yph","Yersinia pestis Harbin 35","biovar Medievalis"
"1080","ypa","Yersinia pestis Antiqua","biovar Antiqua"
"1081","ypn","Yersinia pestis Nepal516","biovar Antiqua"
"1082","ypm","Yersinia pestis 91001","biovar Microtus"
"1083","ypp","Yersinia pestis Pestoides F","biovar Antiqua"
"1084","ypg","Yersinia pestis Angola","Yersinia pestis Angola"
"1085","ypz","Yersinia pestis Z176003","Yersinia pestis Z176003"
"1086","ypt","Yersinia pestis A1122","Yersinia pestis A1122"
"1087","ypd","Yersinia pestis D106004","Yersinia pestis D106004"
"1088","ypx","Yersinia pestis D182038","Yersinia pestis D182038"
"1089","ypw","Yersinia pestis PBM19","Yersinia pestis PBM19"
"1090","ypj","Yersinia pestis Harbin35","Yersinia pestis Harbin35"
"1091","ypv","Yersinia pestis Shasta","Yersinia pestis Shasta"
"1092","ypl","Yersinia pestis El Dorado","Yersinia pestis El Dorado"
"1093","yps","Yersinia pseudotuberculosis IP 32953","serotype I"
"1094","ypo","Yersinia pseudotuberculosis IP 32953","serotype 1"
"1095","ypi","Yersinia pseudotuberculosis IP 31758","serotype O:1b"
"1096","ypy","Yersinia pseudotuberculosis YPIII","serotype O:3"
"1097","ypb","Yersinia pseudotuberculosis PB1/+","serotype 1B"
"1098","ypq","Yersinia pseudotuberculosis ATCC 6904","Yersinia pseudotuberculosis ATCC 6904"
"1099","ypu","Yersinia pseudotuberculosis MD67","Yersinia pseudotuberculosis MD67"
"1100","ypr","Yersinia pseudotuberculosis EP2/+","Yersinia pseudotuberculosis EP2/+"
"1101","ypc","Yersinia pseudotuberculosis 1","Yersinia pseudotuberculosis 1"
"1102","ypf","Yersinia pseudotuberculosis PA3606","Yersinia pseudotuberculosis PA3606"
"1103","yen","Yersinia enterocolitica subsp. enterocolitica 8081","serotype 0:8"
"1104","yep","Yersinia enterocolitica subsp. palearctica 105.5R(r)","serotype:O:9"
"1105","yey","Yersinia enterocolitica subsp. palearctica Y11","serotype:0:3"
"1106","yel","Yersinia enterocolitica LC20","Yersinia enterocolitica LC20"
"1107","yew","Yersinia enterocolitica WA","Yersinia enterocolitica WA"
"1108","yet","Yersinia enterocolitica 2516-87","Yersinia enterocolitica 2516-87"
"1109","yef","Yersinia enterocolitica FORC_002","Yersinia enterocolitica FORC_002"
"1110","yee","Yersinia enterocolitica","type O:5 YE53/03"
"1111","ysi","Yersinia similis","Yersinia similis"
"1112","yal","Yersinia aldovae","Yersinia aldovae"
"1113","yfr","Yersinia frederiksenii","Yersinia frederiksenii"
"1114","yin","Yersinia intermedia","Yersinia intermedia"
"1115","ykr","Yersinia kristensenii","Yersinia kristensenii"
"1116","yro","Yersinia rohdei","Yersinia rohdei"
"1117","yru","Yersinia ruckeri YRB","Yersinia ruckeri YRB"
"1118","yrb","Yersinia ruckeri Big Creek 74","serotype O2"
"1119","yak","Yersinia aleksiciae","Yersinia aleksiciae"
"1120","yma","Yersinia massiliensis","Yersinia massiliensis"
"1121","yhi","Yersinia hibernica","Yersinia hibernica"
"1122","yca","Yersinia canariae","Yersinia canariae"
"1123","ymo","Yersinia mollaretii","Yersinia mollaretii"
"1124","smar","Serratia marcescens SM39","Serratia marcescens SM39"
"1125","smac","Serratia marcescens subsp. marcescens Db11","Serratia marcescens subsp. marcescens Db11"
"1126","smw","Serratia marcescens WW4","Serratia marcescens WW4"
"1127","spe","Serratia proteamaculans","Serratia proteamaculans"
"1128","srr","Serratia plymuthica AS9","Serratia plymuthica AS9"
"1129","srl","Serratia plymuthica 4Rx13","Serratia plymuthica 4Rx13"
"1130","sry","Serratia plymuthica S13","Serratia plymuthica S13"
"1131","sply","Serratia inhibens","Serratia inhibens"
"1132","srs","Serratia sp. AS12","Serratia sp. AS12"
"1133","sra","Serratia sp. AS13","Serratia sp. AS13"
"1134","ssz","Serratia symbiotica","Serratia symbiotica"
"1135","smaf","Serratia sp. FGI94","Serratia sp. FGI94"
"1136","slq","Serratia liquefaciens","Serratia liquefaciens"
"1137","serf","Serratia sp. FS14","Serratia sp. FS14"
"1138","sers","Serratia sp. SCBI","Serratia sp. SCBI"
"1139","sfw","Serratia fonticola DSM 4576","Serratia fonticola DSM 4576"
"1140","sfg","Serratia fonticola GS2","Serratia fonticola GS2"
"1141","srz","Serratia rubidaea","Serratia rubidaea"
"1142","sera","Serratia sp. ATCC 39006","Serratia sp. ATCC 39006"
"1143","serq","Serratia sp. ATCC 39006","Serratia sp. ATCC 39006"
"1144","serm","Serratia sp. MYb239","Serratia sp. MYb239"
"1145","squ","Serratia quinivorans","Serratia quinivorans"
"1146","sfj","Serratia ficaria","Serratia ficaria"
"1147","sof","Serratia odorifera","Serratia odorifera"
"1148","ssur","Serratia surfactantfaciens","Serratia surfactantfaciens"
"1149","suri","Serratia ureilytica","Serratia ureilytica"
"1150","srhz","Serratia rhizosphaerae","Serratia rhizosphaerae"
"1151","sfo","Chania multitudinisentens","Chania multitudinisentens"
"1152","rah","Rahnella aceris Y9602","Rahnella aceris Y9602"
"1153","race","Rahnella aceris ZF458","Rahnella aceris ZF458"
"1154","raq","Rahnella aquatilis CIP 78.65 = ATCC 33071","Rahnella aquatilis CIP 78.65 = ATCC 33071"
"1155","raa","Rahnella aquatilis HX2","Rahnella aquatilis HX2"
"1156","rox","Rahnella sp. ERMR1:05","Rahnella sp. ERMR1:05"
"1157","rvc","Rahnella victoriana","Rahnella victoriana"
"1158","gqu","Gibbsiella quercinecans","Gibbsiella quercinecans"
"1159","fsm","Candidatus Fukatsuia symbiotica","Candidatus Fukatsuia symbiotica"
"1160","eame","Ewingella americana","Ewingella americana"
"1161","rbad","Rouxiella badensis","Rouxiella badensis"
"1162","eca","Pectobacterium atrosepticum SCRI1043","Pectobacterium atrosepticum SCRI1043"
"1163","patr","Pectobacterium atrosepticum JG10-08","Pectobacterium atrosepticum JG10-08"
"1164","pato","Pectobacterium atrosepticum 21A","Pectobacterium atrosepticum 21A"
"1165","pct","Pectobacterium carotovorum subsp. carotovorum PC1","Pectobacterium carotovorum subsp. carotovorum PC1"
"1166","pcc","Pectobacterium carotovorum subsp. carotovorum PCC21","Pectobacterium carotovorum subsp. carotovorum PCC21"
"1167","pcv","Pectobacterium odoriferum","Pectobacterium odoriferum"
"1168","pwa","Pectobacterium parmentieri WPP163","Pectobacterium parmentieri WPP163"
"1169","ppar","Pectobacterium parmentieri RNS08.42.1A","Pectobacterium parmentieri RNS08.42.1A"
"1170","pec","Pectobacterium parmentieri SCC3193","Pectobacterium parmentieri SCC3193"
"1171","pws","Pectobacterium wasabiae","Pectobacterium wasabiae"
"1172","ppoa","Pectobacterium polaris","Pectobacterium polaris"
"1173","pbra","Pectobacterium brasiliense","Pectobacterium brasiliense"
"1174","ppuj","Pectobacterium punjabense","Pectobacterium punjabense"
"1175","pari","Pectobacterium aroidearum","Pectobacterium aroidearum"
"1176","paqu","Pectobacterium aquaticum","Pectobacterium aquaticum"
"1177","pvz","Pectobacterium versatile","Pectobacterium versatile"
"1178","ppav","Pectobacterium parvum","Pectobacterium parvum"
"1179","ddd","Dickeya dadantii 3937","Dickeya dadantii 3937"
"1180","dze","Dickeya chrysanthemi","Dickeya chrysanthemi"
"1181","ddc","Dickeya parazeae","Dickeya parazeae"
"1182","dzc","Dickeya zeae","Dickeya zeae"
"1183","dso","Dickeya solani IPO 2222","Dickeya solani IPO 2222"
"1184","ced","Dickeya fangzhongdai ND14b","Dickeya fangzhongdai ND14b"
"1185","dfn","Dickeya fangzhongdai DSM 101947","Dickeya fangzhongdai DSM 101947"
"1186","ddq","Dickeya dianthicola","Dickeya dianthicola"
"1187","daq","Dickeya aquatica","Dickeya aquatica"
"1188","dic","Dickeya poaceiphila","Dickeya poaceiphila"
"1189","dda","Musicola paradisiaca","Musicola paradisiaca"
"1190","bgj","Brenneria goodwinii","Brenneria goodwinii"
"1191","brb","Brenneria rubrifaciens","Brenneria rubrifaciens"
"1192","bng","Brenneria nigrifluens","Brenneria nigrifluens"
"1193","biz","Brenneria izadpanahii","Brenneria izadpanahii"
"1194","lbq","Lonsdalea britannica","Lonsdalea britannica"
"1195","lpop","Lonsdalea populi","Lonsdalea populi"
"1196","sgl","Sodalis glossinidius","Sodalis glossinidius"
"1197","sod","Sodalis praecaptivus","Sodalis praecaptivus"
"1198","pes","Candidatus Sodalis pierantonius","Candidatus Sodalis pierantonius"
"1199","seny","Sodalis endosymbiont of Henestaris halophilus","Sodalis endosymbiont of Henestaris halophilus"
"1200","eam","Erwinia amylovora CFBP1430","Erwinia amylovora CFBP1430"
"1201","eay","Erwinia amylovora ATCC 49946","Erwinia amylovora ATCC 49946"
"1202","eta","Erwinia tasmaniensis","Erwinia tasmaniensis"
"1203","epy","Erwinia pyrifoliae Ep1/96","Erwinia pyrifoliae Ep1/96"
"1204","epr","Erwinia pyrifoliae DSM 12163","Erwinia pyrifoliae DSM 12163"
"1205","ebi","Erwinia billingiae","Erwinia billingiae"
"1206","erj","Erwinia sp. Ejp617","Erwinia sp. Ejp617"
"1207","ege","Erwinia gerundensis","Erwinia gerundensis"
"1208","epe","Erwinia persicina","Erwinia persicina"
"1209","ehd","Candidatus Erwinia haradaeae","Candidatus Erwinia haradaeae"
"1210","erwi","Erwinia sp. J780","Erwinia sp. J780"
"1211","etp","Erwinia tracheiphila","Erwinia tracheiphila"
"1212","buc","Buchnera aphidicola APS","Acyrthosiphon pisum"
"1213","bap","Buchnera aphidicola 5A","Acyrthosiphon pisum"
"1214","bau","Buchnera aphidicola Tuc7","Acyrthosiphon pisum"
"1215","baw","Buchnera aphidicola JF98","Acyrthosiphon pisum"
"1216","bajc","Buchnera aphidicola JF99","Acyrthosiphon pisum"
"1217","bua","Buchnera aphidicola LL01","Acyrthosiphon pisum"
"1218","bup","Buchnera aphidicola TLW03","Acyrthosiphon pisum"
"1219","bak","Buchnera aphidicola Ak","Acyrthosiphon kondoi"
"1220","buh","Buchnera aphidicola Ua","Uroleucon ambrosiae"
"1221","bapf","Buchnera aphidicola F009","Myzus persicae"
"1222","bapg","Buchnera aphidicola G002","Myzus persicae"
"1223","bapu","Buchnera aphidicola USDA","Myzus persicae"
"1224","bapw","Buchnera aphidicola W106","Myzus persicae"
"1225","bas","Buchnera aphidicola Sg","Schizaphis graminum"
"1226","bab","Buchnera aphidicola Bp","Baizongia pistaciae"
"1227","bcc","Buchnera aphidicola BCc","Buchnera aphidicola BCc"
"1228","baj","Buchnera aphidicola","Cinara tujafilina"
"1229","baph","Buchnera aphidicola","Aphis glycines"
"1230","wbr","Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis","Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis"
"1231","wgl","Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitan","Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitan"
"1232","pam","Pantoea ananatis LMG 20103","Pantoea ananatis LMG 20103"
"1233","plf","Pantoea ananatis LMG 5342","Pantoea ananatis LMG 5342"
"1234","paj","Pantoea ananatis AJ13355","Pantoea ananatis AJ13355"
"1235","paq","Pantoea ananatis PA13","Pantoea ananatis PA13"
"1236","pva","Pantoea vagans C9-1","Pantoea vagans C9-1"
"1237","pagg","Pantoea vagans FDAARGOS_160","Pantoea vagans FDAARGOS_160"
"1238","pao","Pantoea sp. At-9b","Pantoea sp. At-9b"
"1239","kln","Pantoea rwandensis","Pantoea rwandensis"
"1240","pant","Pantoea sp. PSNIH1","Pantoea sp. PSNIH1"
"1241","panp","Pantoea sp. PSNIH2","Pantoea sp. PSNIH2"
"1242","hhs","Candidatus Pantoea carbekii","Candidatus Pantoea carbekii"
"1243","pck","Candidatus Pantoea carbekii US","Candidatus Pantoea carbekii US"
"1244","pagc","Pantoea agglomerans C410P1","Pantoea agglomerans C410P1"
"1245","pstw","Pantoea stewartii subsp. stewartii","Pantoea stewartii subsp. stewartii"
"1246","palh","Pantoea alhagi","Pantoea alhagi"
"1247","pans","Pantoea sp. SO10","Pantoea sp. SO10"
"1248","pey","Pantoea eucalypti","Pantoea eucalypti"
"1249","pdis","Pantoea dispersa","Pantoea dispersa"
"1250","per","Pantoea eucrina","Pantoea eucrina"
"1251","pgz","Mixta gaviniae","Mixta gaviniae"
"1252","pcd","Mixta calida","Mixta calida"
"1253","mint","Mixta intestinalis","Mixta intestinalis"
"1254","mthi","Mixta theicola","Mixta theicola"
"1255","tci","Tatumella citrea","Tatumella citrea"
"1256","tpty","Tatumella ptyseos","Tatumella ptyseos"
"1257","plu","Photorhabdus laumondii subsp. laumondii TTO1","Photorhabdus laumondii subsp. laumondii TTO1"
"1258","plum","Photorhabdus laumondii subsp. laumondii DSPV002N","Photorhabdus laumondii subsp. laumondii DSPV002N"
"1259","pay","Photorhabdus asymbiotica","Photorhabdus asymbiotica"
"1260","ptt","Photorhabdus thracensis","Photorhabdus thracensis"
"1261","pakh","Photorhabdus akhurstii","Photorhabdus akhurstii"
"1262","plui","Photorhabdus luminescens","Photorhabdus luminescens"
"1263","pmr","Proteus mirabilis HI4320","Proteus mirabilis HI4320"
"1264","pmib","Proteus mirabilis BB2000","Proteus mirabilis BB2000"
"1265","pvl","Proteus mirabilis CYPV1","Proteus mirabilis CYPV1"
"1266","pvg","Proteus vulgaris","Proteus vulgaris"
"1267","phau","Proteus hauseri","Proteus hauseri"
"1268","prot","Proteus sp. CD3","Proteus sp. CD3"
"1269","pcol","Proteus columbae","Proteus columbae"
"1270","pcib","Proteus terrae subsp. cibarius","Proteus terrae subsp. cibarius"
"1271","ppee","Proteus penneri","Proteus penneri"
"1272","xbo","Xenorhabdus bovienii SS-2004","Xenorhabdus bovienii SS-2004"
"1273","xbv","Xenorhabdus bovienii CS03","Xenorhabdus bovienii CS03"
"1274","xne","Xenorhabdus nematophila ATCC 19061","Xenorhabdus nematophila ATCC 19061"
"1275","xnm","Xenorhabdus nematophila AN6/1","Xenorhabdus nematophila AN6/1"
"1276","xdo","Xenorhabdus doucetiae","Xenorhabdus doucetiae"
"1277","xpo","Xenorhabdus poinarii","Xenorhabdus poinarii"
"1278","xho","Xenorhabdus hominickii","Xenorhabdus hominickii"
"1279","xbu","Xenorhabdus budapestensis","Xenorhabdus budapestensis"
"1280","psi","Providencia stuartii MRSN 2154","Providencia stuartii MRSN 2154"
"1281","psx","Providencia stuartii ATCC 33672","Providencia stuartii ATCC 33672"
"1282","psta","Providencia stuartii BE2467","Providencia stuartii BE2467"
"1283","prg","Providencia rettgeri","Providencia rettgeri"
"1284","pala","Providencia alcalifaciens","Providencia alcalifaciens"
"1285","phei","Providencia heimbachae","Providencia heimbachae"
"1286","prq","Providencia huaxiensis","Providencia huaxiensis"
"1287","prj","Providencia rustigianii","Providencia rustigianii"
"1288","pvc","Providencia vermicola","Providencia vermicola"
"1289","mmk","Morganella morganii","Morganella morganii"
"1290","asy","Candidatus Arsenophonus lipoptenae","Candidatus Arsenophonus lipoptenae"
"1291","aen","Arsenophonus endosymbiont of Aleurodicus dispersus","Arsenophonus endosymbiont of Aleurodicus dispersus"
"1292","ans","Arsenophonus nasoniae","Arsenophonus nasoniae"
"1293","aed","Arsenophonus endosymbiont of Aphis craccivora","Arsenophonus endosymbiont of Aphis craccivora"
"1294","aet","Arsenophonus endosymbiont of Apis mellifera","Arsenophonus endosymbiont of Apis mellifera"
"1295","mwi","Moellerella wisconsensis","Moellerella wisconsensis"
"1296","eic","Edwardsiella ictaluri","Edwardsiella ictaluri"
"1297","etr","Edwardsiella tarda EIB202","Edwardsiella tarda EIB202"
"1298","etd","Edwardsiella tarda FL6-60","Edwardsiella tarda FL6-60"
"1299","ete","Edwardsiella anguillarum","Edwardsiella anguillarum"
"1300","etc","Edwardsiella piscicida C07-087","Edwardsiella piscicida C07-087"
"1301","edw","Edwardsiella sp. EA181011","Edwardsiella sp. EA181011"
"1302","edl","Edwardsiella sp. LADL05-105","Edwardsiella sp. LADL05-105"
"1303","eho","Edwardsiella hoshinae","Edwardsiella hoshinae"
"1304","hav","Hafnia alvei","Hafnia alvei"
"1305","hpar","Hafnia paralvei","Hafnia paralvei"
"1306","opo","Obesumbacterium proteus","Obesumbacterium proteus"
"1307","lpv","Limnobaculum parvum","Limnobaculum parvum"
"1308","pfq","Pragia fontium","Pragia fontium"
"1309","prag","Jinshanibacter zhutongyuii","Jinshanibacter zhutongyuii"
"1310","lri","Leminorella richardii","Leminorella richardii"
"1311","hin","Haemophilus influenzae Rd KW20","serotype d"
"1312","hit","Haemophilus influenzae 86-028NP","nontypeable"
"1313","hip","Haemophilus influenzae PittEE","nontypeable"
"1314","hiq","Haemophilus influenzae PittGG","nontypeable"
"1315","hif","Haemophilus influenzae F3031","nontypeable"
"1316","hil","Haemophilus influenzae F3047","nontypeable"
"1317","hiu","Haemophilus influenzae 10810","serotype b"
"1318","hie","Haemophilus influenzae R2846","nontypeable"
"1319","hiz","Haemophilus influenzae R2866","nontypeable"
"1320","hik","Haemophilus influenzae KR494","serotype f"
"1321","hia","Haemophilus influenzae CGSHiCZ412602","Haemophilus influenzae CGSHiCZ412602"
"1322","hih","Haemophilus influenzae Hi375","Haemophilus influenzae Hi375"
"1323","hiw","Haemophilus influenzae 477","Haemophilus influenzae 477"
"1324","hic","Haemophilus influenzae C486","Haemophilus influenzae C486"
"1325","hix","Haemophilus influenzae 723","Haemophilus influenzae 723"
"1326","hpr","Haemophilus parainfluenzae","Haemophilus parainfluenzae"
"1327","hdu","Haemophilus ducreyi","Haemophilus ducreyi"
"1328","hay","Haemophilus sp. oral taxon 036","Haemophilus sp. oral taxon 036"
"1329","hpit","Haemophilus pittmaniae","Haemophilus pittmaniae"
"1330","hhz","Haemophilus haemolyticus","Haemophilus haemolyticus"
"1331","haeg","Haemophilus aegyptius","Haemophilus aegyptius"
"1332","hpaa","Haemophilus parahaemolyticus","Haemophilus parahaemolyticus"
"1333","hsem","Haemophilus seminalis","Haemophilus seminalis"
"1334","hap","Glaesserella parasuis SH0165","Glaesserella parasuis SH0165"
"1335","hpaz","Glaesserella parasuis ZJ0906","Glaesserella parasuis ZJ0906"
"1336","hpas","Glaesserella parasuis SH03","Glaesserella parasuis SH03"
"1337","hpak","Glaesserella parasuis KL0318","Glaesserella parasuis KL0318"
"1338","gle","Glaesserella sp. 15-184","Glaesserella sp. 15-184"
"1339","hso","Histophilus somni 129PT","Histophilus somni 129PT"
"1340","hsm","Histophilus somni 2336","Histophilus somni 2336"
"1341","pmu","Pasteurella multocida subsp. multocida Pm70","Pasteurella multocida subsp. multocida Pm70"
"1342","pmv","Pasteurella multocida subsp. multocida HN06","Pasteurella multocida subsp. multocida HN06"
"1343","pul","Pasteurella multocida subsp. multocida 3480","Pasteurella multocida subsp. multocida 3480"
"1344","pmp","Pasteurella multocida 36950","Pasteurella multocida 36950"
"1345","pmul","Pasteurella multocida ATCC 43137","Pasteurella multocida ATCC 43137"
"1346","pdag","Pasteurella dagmatis","Pasteurella dagmatis"
"1347","psky","Pasteurella skyensis","Pasteurella skyensis"
"1348","patl","Pasteurella atlantica","Pasteurella atlantica"
"1349","pcai","Pasteurella canis","Pasteurella canis"
"1350","msu","Mannheimia succiniciproducens","Mannheimia succiniciproducens"
"1351","bsun","Basfia succiniciproducens","Basfia succiniciproducens"
"1352","mht","Mannheimia haemolytica USDA-ARS-USMARC-185","Mannheimia haemolytica USDA-ARS-USMARC-185"
"1353","mhq","Mannheimia haemolytica USDA-ARS-USMARC-183","Mannheimia haemolytica USDA-ARS-USMARC-183"
"1354","mhat","Mannheimia haemolytica USDA-ARS-USMARC-184","Mannheimia haemolytica USDA-ARS-USMARC-184"
"1355","mhx","Mannheimia haemolytica M42548","Mannheimia haemolytica M42548"
"1356","mhae","Mannheimia haemolytica D153","Mannheimia haemolytica D153"
"1357","mham","Mannheimia haemolytica D171","Mannheimia haemolytica D171"
"1358","mhao","Mannheimia haemolytica D174","Mannheimia haemolytica D174"
"1359","mhal","Mannheimia haemolytica USMARC_2286","Mannheimia haemolytica USMARC_2286"
"1360","mhaq","Mannheimia haemolytica 89010807N","Mannheimia haemolytica 89010807N"
"1361","mhay","Mannheimia haemolytica 89010807N lktA-","Mannheimia haemolytica 89010807N lktA-"
"1362","mvr","Mannheimia sp. USDA-ARS-USMARC-1261","Mannheimia sp. USDA-ARS-USMARC-1261"
"1363","mvi","Mannheimia varigena USDA-ARS-USMARC-1296","Mannheimia varigena USDA-ARS-USMARC-1296"
"1364","mvg","Mannheimia varigena USDA-ARS-USMARC-1312","Mannheimia varigena USDA-ARS-USMARC-1312"
"1365","mve","Mannheimia varigena USDA-ARS-USMARC-1388","Mannheimia varigena USDA-ARS-USMARC-1388"
"1366","mann","Mannheimia ovis","Mannheimia ovis"
"1367","mgra","Mannheimia granulomatis","Mannheimia granulomatis"
"1368","mbos","Mannheimia bovis","Mannheimia bovis"
"1369","mpeg","Mannheimia pernigra","Mannheimia pernigra"
"1370","apl","Actinobacillus pleuropneumoniae L20","serotype 5b"
"1371","apj","Actinobacillus pleuropneumoniae JL03","serotype 3"
"1372","apa","Actinobacillus pleuropneumoniae AP76","serotype 7"
"1373","asu","Actinobacillus succinogenes","Actinobacillus succinogenes"
"1374","asi","Actinobacillus suis H91-0380","Actinobacillus suis H91-0380"
"1375","ass","Actinobacillus suis ATCC 33415","Actinobacillus suis ATCC 33415"
"1376","aeu","Actinobacillus equuli subsp. equuli","Actinobacillus equuli subsp. equuli"
"1377","apor","Actinobacillus porcitonsillarum","Actinobacillus porcitonsillarum"
"1378","aio","Actinobacillus indolicus","Actinobacillus indolicus"
"1379","adp","Actinobacillus delphinicola","Actinobacillus delphinicola"
"1380","alig","Actinobacillus lignieresii","Actinobacillus lignieresii"
