Total protein number combining all batches: 1248
  In any 2 batche(s): 606
  In any 1 batche(s): 642
Batch-specific protein numbers:
  batch1: 311
  batch2: 331

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
SJPG0110772.001	sp|Q9NYQ8|FAT2_HUMAN	Protocadherin Fat 2 OS=Homo sapiens OX=9606 GN=FAT2 PE=1 SV=2	FAT2	-	-	-	-	-	batch1	1	1	1	0.21	688806.671747137	863964.664847175	458459.589303786	637485.291317189	689363.635968087	915840.430149142	443819.226443661	680162.09949756	454121.879942641	868629.960083793	batch2	1	1	1	0.21	352690.783202025	485651.029550453	281947.36032125	342817.838564177	343474.336074879	299251.651782291	292853.375057849	388236.1875839	487932.439028288	515463.754209329
SJPG0104652.001	sp|P30419|NMT1_HUMAN	Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2	NMT1	-	-	-	-	-	batch1	6	1	0	2.42	438858.737835841	514700.221909839	446900.643476153	429928.221163892	376871.098462242	535576.081026986	384412.976688594	440417.51702693	436779.143207594	536478.746526548	batch2	4	1	0	2.42	300127.53621887	328051.962627947	238893.630714137	231452.603219527	309018.3364039	209389.510940371	277753.413125049	346093.270509116	388759.354319533	357568.806988058
SJPG0106524.001	sp|O95714|HERC2_HUMAN	E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2	HERC2	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	0.17	6552773.53336111	5298166.86239833	3747360.43098049	5520321.13540514	4218813.57418931	4054547.30574995	7236682.48770114	4791090.87834845	4857334.66483793	4520254.41572354
SJPG0122762.001	sp|Q6ZN11|ZN793_HUMAN	Zinc finger protein 793 OS=Homo sapiens OX=9606 GN=ZNF793 PE=2 SV=2	ZNF793	-	-	-	-	-	batch1	5	1	0	2.96	15788233.6016578	10487277.2030911	9893263.9392407	10038817.4897721	20557924.5426373	10360937.937152	8122081.95140766	9459580.35925724	10477809.4352491	10012391.6945817	batch2	3	1	0	2.96	1062230.89924855	710942.593080399	1402607.65184446	1293331.97388031	1243805.78491705	1368698.79740434	830074.283115452	1311594.65663932	692518.843415129	683520.086273671
SJPG0107968.001	sp|O15516|CLOCK_HUMAN	Circadian locomoter output cycles protein kaput OS=Homo sapiens OX=9606 GN=CLOCK PE=1 SV=1	CLOCK	-	-	O	-	-	batch1	3	1	1	1.54	41208.1836060051	42514.3632703738	32201.1414536239	47271.0184513693	38854.7100397098	42362.2615290205	43440.2457003195	43401.6723138432	39607.8671994474	42058.1515659084	batch2	3	1	1	1.54	50261.3906924328	51506.3260466971	56364.6807463804	49453.8209310211	48484.8167511574	47302.3587601962	55622.9435582452	42703.2599314672	71624.9985005967	65889.5204570316
SJPG0106231.001	sp|Q86U86|PB1_HUMAN	Protein polybromo-1 OS=Homo sapiens OX=9606 GN=PBRM1 PE=1 SV=1	PBRM1	-	-	O	-	O	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.30	37880.7107417455	23955.7516838274	27512.3441637435	30670.1502419583	32287.3266104214	31981.8760739823	21886.5831907075	30353.2270308469	14660.7774059877	24725.4242191678
SJPG0109031.001	sp|Q7Z403|TMC6_HUMAN	Transmembrane channel-like protein 6 OS=Homo sapiens OX=9606 GN=TMC6 PE=1 SV=2	TMC6	-	-	-	-	-	batch1	1	1	0	1.12	852599.55561004	854322.0761216	876363.078065464	926196.611371563	806538.644672623	919653.574322656	805930.513725531	882099.878471623	869556.707261404	954780.784834151	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0106363.001	sp|Q96ST2|IWS1_HUMAN	Protein IWS1 homolog OS=Homo sapiens OX=9606 GN=IWS1 PE=1 SV=2	IWS1	-	-	-	-	-	batch1	1	1	0	1.59	112091.402134442	84080.9800254688	81257.7694087121	66698.5610968973	109204.205665458	89940.4202704341	79403.3396252386	78401.7832353098	81403.9824611819	86839.2917243424	batch2	1	1	0	1.59	98346.2993146126	106726.112224165	76801.4634649337	79896.9141909525	84486.2297676352	93483.3435479441	102195.992008951	76817.9382387594	93352.5340620463	100716.836222079
SJPG0109244.001	sp|Q7Z333|SETX_HUMAN	Probable helicase senataxin OS=Homo sapiens OX=9606 GN=SETX PE=1 SV=4	SETX	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	3	1	0	0.34	70863.8359790742	412668.771007473	71990.447330804	57390.0326644223	69723.0795524512	76169.2553787973	63122.928069028	62598.7528120376	582927.837437662	600472.73355784
SJPG0105502.001	sp|Q8IXT5|RB12B_HUMAN	RNA-binding protein 12B OS=Homo sapiens OX=9606 GN=RBM12B PE=1 SV=2	RBM12B	-	-	-	-	-	batch1	1	1	0	2.10	233227.043465077	172757.516155731	172465.142284058	159683.978855871	214989.334828793	183540.155769599	160193.365485208	155128.056110445	160890.734039299	178220.439331619	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100799.001	sp|P14866|HNRPL_HUMAN	Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2	HNRNPL	-	-	-	-	-	batch1	1	1	0	2.72	94846.9631987055	85339.2043089405	64877.1514072549	73030.8331659467	93546.7155239598	90679.569076671	70936.6022575373	57777.9061943998	77156.6224122796	85860.2877141242	batch2	1	1	0	2.72	192264.853662751	195170.394852224	179024.283655499	144399.209473945	168309.151441805	150809.267989923	150345.794970175	141384.964293769	185851.971034068	199563.742881625
SJPG0101541.001	sp|Q5SW79|CE170_HUMAN	Centrosomal protein of 170 kDa OS=Homo sapiens OX=9606 GN=CEP170 PE=1 SV=1	CEP170	-	-	-	-	-	batch1	2	2	0	2.21	324801.326879749	69624.1256322802	56359.0014375836	72423.8953994289	338648.503559016	104447.768045017	74936.4938450802	54811.698795601	73620.8560976835	85880.6031035576	batch2	5	4	0	2.21	263362.397441149	76401.4008778075	226419.863687332	222023.532056627	213591.911799668	260791.000464733	173053.224198489	194355.067585899	84824.8415786471	87071.9954194262
SJPG0104308.001	sp|Q13428|TCOF_HUMAN	Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3	TCOF1	-	-	-	-	-	batch1	34	15	0	9.81	2313595.88974555	2624912.93530685	2354774.47754634	2494477.55644034	1697716.96243935	3801649.83255004	2241845.7956206	2527550.03606362	2241409.1424631	3494717.41109972	batch2	40	17	0	9.01	7456104.48683558	8069237.78311762	5529219.92420301	6236176.60220073	6613560.31359959	5761165.75010103	6812740.36016583	5963574.25545972	11562458.1731985	11700176.4925353
SJPG0100846.001	sp|P54578|UBP14_HUMAN	Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3	USP14	-	-	-	-	-	batch1	3	3	0	3.24	214667.683489625	110787.992888625	109749.951132965	116266.521160245	199192.867031925	119497.535743829	129988.633971443	115265.979940801	137261.199528905	124736.552622806	batch2	6	2	0	3.24	185245.037347639	123589.128026678	168745.99726858	144972.721777594	159248.230594627	152705.393222698	151477.323521058	144564.551080846	137169.837938168	122555.511145569
SJPG0105030.010	sp|O75030-10|MITF_HUMAN	Isoform M2 of Microphthalmia-associated transcription factor OS=Homo sapiens OX=9606 GN=MITF	MITF	-	-	-	-	-	batch1	1	1	0	1.94	298793.718243845	168282.189785628	197731.423063797	110311.00862583	320590.007837841	223832.424164594	117934.197842876	101007.642180963	165479.767441283	195499.756737171	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100379.001	sp|P14317|HCLS1_HUMAN	Hematopoietic lineage cell-specific protein OS=Homo sapiens OX=9606 GN=HCLS1 PE=1 SV=3	HCLS1	-	-	-	-	-	batch1	1	1	0	4.73	27152.1442856745	50171.2357062189	32061.8106286725	45029.7420167177	27314.1729335537	45694.7189413781	35547.799740892	47011.366977065	31879.3260281954	47679.1313156564	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100175.001	sp|Q02952|AKA12_HUMAN	A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4	AKAP12	-	-	-	-	-	batch1	1	1	0	0.45	242560.16775337	191817.189638671	171250.657430423	212967.919473448	235180.98159162	181448.845765458	183755.391537799	173758.344024857	184224.418194027	166178.89675548	batch2	3	2	0	1.12	703677.585094347	567653.81576868	535050.058126877	551916.866972346	615246.642709314	508137.845914578	647819.22385434	469814.529905765	489748.553391703	508581.365805927
SJPG0122946.001	tr|A0A024R6K4|A0A024R6K4_HUMAN	HCG1649783, isoform CRA_b OS=Homo sapiens OX=9606 GN=hCG_1649783 PE=4 SV=1	hCG_1649783	-	-	-	-	-	batch1	2	2	0	27.27	230641.383770418	218593.296524548	208698.955678261	219465.003626754	208705.993011213	238937.978320841	188977.240646191	186974.871302095	207435.666424716	239072.042187957	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0110910.001	sp|Q4G0P3|HYDIN_HUMAN	Hydrocephalus-inducing protein homolog OS=Homo sapiens OX=9606 GN=HYDIN PE=1 SV=3	HYDIN	-	-	-	-	-	batch1	1	1	1	0.16	511628.344417574	965870.689011086	864853.398612989	703129.492321323	536792.908258171	704000.666573402	679590.196636795	678136.179286588	730324.309748404	735472.200702044	batch2	2	1	1	0.16	360756.85216723	499147.766444806	204960.145305526	343084.243192907	266779.262378849	392579.400021099	321618.395592597	297764.547942117	440127.948804914	445512.22402483
SJPG0150769.001	cu|OR5F1_S106A|snp	OR5F1|uc010riv.2|S106A|chr11:55761786-55761786.A_C	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	22.95	374427.524968471	155904.670915522	293866.19689111	238377.991820044	327059.70234663	225115.254297122	181215.831170752	224050.849668253	237553.584698776	170550.483138952
SJPG0101856.001	sp|P49840|GSK3A_HUMAN	Glycogen synthase kinase-3 alpha OS=Homo sapiens OX=9606 GN=GSK3A PE=1 SV=2	GSK3A	-	-	O	O	-	batch1	9	3	0	2.28	461765.375997399	334326.307090059	257540.017828438	289138.718358237	370220.900712721	321754.209032969	262187.509209493	262082.529010791	271532.742985809	324879.909379487	batch2	11	3	0	2.28	367909.719535253	248723.880610665	364064.617178289	304760.456083103	335087.151803386	314341.033717696	267477.673058784	304439.727581252	252676.616954972	267657.160652659
SJPG0101426.001	sp|Q53HC0|CCD92_HUMAN	Coiled-coil domain-containing protein 92 OS=Homo sapiens OX=9606 GN=CCDC92 PE=1 SV=2	CCDC92	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	4.53	222024.741489354	92801.776949345	194021.313057834	246674.032583235	181064.040965177	189364.339705745	219330.432928821	202841.915192114	78781.0778253	87603.1736592671
SJPG0105997.001	sp|P27708|PYR1_HUMAN	CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3	CAD	-	-	-	-	-	batch1	11	2	0	0.67	301804.273430314	474415.589409422	489217.789500767	495002.80992253	271292.589303653	481296.358921887	472131.623882466	506689.483002012	472965.544919171	468497.514516158	batch2	8	1	0	0.67	318960.238738702	328886.516653039	254542.968326807	250086.280787683	277847.074275177	259515.973046022	272243.317510522	257135.439973535	360099.415130543	375054.720577313
SJPG0103207.001	sp|O95400|CD2B2_HUMAN	CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1	CD2BP2	-	-	-	-	-	batch1	1	1	1	2.93	400574.00225786	426673.031854467	387080.15293424	378204.728985773	431235.516963574	455613.507195401	394381.146845565	373120.973960073	411174.442786907	456083.369274317	batch2	2	1	1	2.93	314818.759737692	404371.802481986	249318.006486553	337826.546776496	315238.508326652	295901.217352139	431724.813465246	296468.31479506	394616.914250456	410617.631588319
SJPG0102368.001	sp|P31689|DNJA1_HUMAN	DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2	DNAJA1	-	-	-	-	-	batch1	1	1	1	3.27	114637.074275148	170575.116085995	216911.501092334	185353.095777635	85017.0191727002	224917.330137818	192215.433975085	206275.989723052	207346.143590799	209653.605413218	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100474.001	sp|P30101|PDIA3_HUMAN	Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4	PDIA3	-	-	-	-	-	batch1	1	1	0	1.58	375053.049228016	563227.887152678	366897.82265409	557466.614590013	285676.986196085	610067.375636587	401899.524216108	595823.877503859	383435.668334987	376207.482907709	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0106761.001	sp|P02774|VTDB_HUMAN	Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2	GC	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.69	550697.832923299	419755.227217394	588557.224557757	505898.750303096	525348.996464516	514050.775828216	467556.562494844	510579.46233031	395939.372551244	382746.515117778
SJPG0109707.001	sp|Q5UIP0|RIF1_HUMAN	Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2	RIF1	-	-	-	-	-	batch1	4	4	0	2.91	226597.972024782	292896.765404746	235518.366859871	276083.192366375	209750.153848262	285597.884596278	217115.909264281	283673.986672635	234806.744884707	262878.182098461	batch2	2	1	0	1.13	53098.0437788878	70365.4088882728	37727.171267512	30938.8806958352	41277.4391006953	33190.5454569994	47922.0919397613	34743.8714916549	68460.3644132224	60327.6767931855
SJPG0114612.001	sp|Q53EP0|FND3B_HUMAN	Fibronectin type III domain-containing protein 3B OS=Homo sapiens OX=9606 GN=FNDC3B PE=1 SV=2	FNDC3B	-	-	-	-	-	batch1	1	1	0	0.83	156276.324192011	183328.380739689	276195.137927182	203697.103094909	145722.486822902	125538.675089551	329380.155860025	234550.540696824	257182.53923953	178441.211882256	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0106107.001	sp|Q8TF39|ZN483_HUMAN	Zinc finger protein 483 OS=Homo sapiens OX=9606 GN=ZNF483 PE=1 SV=3	ZNF483	-	-	-	-	O	batch1	3	1	0	1.08	873472.280258202	1078158.12285779	713809.479736126	809750.424885162	756437.144773268	1133783.2081072	675956.366712807	796804.762333151	754310.285107079	1106952.70847853	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0101274.001	sp|P49674|KC1E_HUMAN	Casein kinase I isoform epsilon OS=Homo sapiens OX=9606 GN=CSNK1E PE=1 SV=1	CSNK1E	-	-	-	O	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	2.40	229032.157241512	262970.54790273	220446.061658666	244052.472552302	231052.419741694	250758.880723963	212223.959003481	216569.677943205	311414.647265789	310777.279782193
SJPG0105495.001	sp|Q16875|F263_HUMAN	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 OS=Homo sapiens OX=9606 GN=PFKFB3 PE=1 SV=1	PFKFB3	-	-	-	-	-	batch1	1	1	0	2.69	202312.767692457	207695.890480251	199253.450852804	230917.083345228	216119.580323946	182247.145982359	213681.730523034	216854.220586098	207180.286296527	201542.776073406	batch2	1	1	0	2.69	251571.60763283	247250.58788879	285046.689044063	250308.232027955	220287.38413506	233864.284265724	226340.233668315	255298.939827155	236200.684098189	257674.66920426
SJPG0102430.001	sp|Q5R372|RBG1L_HUMAN	Rab GTPase-activating protein 1-like OS=Homo sapiens OX=9606 GN=RABGAP1L PE=1 SV=1	RABGAP1L	-	-	-	-	-	batch1	2	1	0	0.86	300652.505046852	316561.494252794	268487.080828572	322219.996794029	295104.571220741	326439.941087039	293680.250445884	324590.055306242	293232.495590686	344097.032305407	batch2	1	1	0	0.86	213211.566666412	247046.680954493	201205.816403362	206840.868060751	208593.246766294	210882.672041308	177119.203183376	221044.267108132	248345.634507617	256828.586095139
SJPG0100807.001	sp|Q14204|DYHC1_HUMAN	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	DYNC1H1	-	-	-	-	-	batch1	9	3	0	0.32	474901.7458674	518227.577510411	439942.160848775	473361.657051629	399019.84250832	487639.281359901	442465.478579168	462184.861374376	465326.919769952	474904.70035535	batch2	10	3	0	0.32	992961.739291034	974159.562197227	781850.645585989	758656.469477563	867790.125846483	790807.217369816	773192.679120603	760636.667228672	899743.713938284	918151.155820666
SJPG0100556.001	sp|Q05682|CALD1_HUMAN	Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3	CALD1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	3	1	0	0.88	1088036.49718785	362032.886059487	1242512.86416534	976270.996983627	1173621.39064615	879078.670188741	515917.689559868	934688.899829738	376242.558219802	308184.602601554
SJPG0101583.001	sp|Q9NYF8|BCLF1_HUMAN	Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2	BCLAF1	-	-	-	-	O	batch1	101	21	0	14.78	3752342.01827123	3664669.57848807	3251265.24801743	3674911.854672	3746589.31950752	3826427.61186525	3276099.40058856	3561918.31889977	3273048.91262323	3751010.41984143	batch2	114	22	0	16.96	1803563.57049313	1613976.24332046	1672933.59530638	1698771.45179276	1739395.1785156	1605867.68591759	1578620.23389332	1630988.06757128	1683703.60811328	1710835.07935801
SJPG0102724.001	sp|Q9UN86|G3BP2_HUMAN	Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2	G3BP2	-	-	-	-	-	batch1	5	2	2	3.73	262353.062399465	236170.836122302	215179.098748862	222663.196949234	287090.70610208	201446.129630232	223265.064596864	237656.93278803	237062.236781959	202874.524742227	batch2	4	2	2	3.73	208092.338813958	165055.487047384	238693.396042684	230419.362448787	226369.421076411	227407.895513205	225275.137528227	223929.388481255	151372.808275654	154347.217612283
SJPG0122153.001	sp|O75717|WDHD1_HUMAN	WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=WDHD1 PE=1 SV=1	WDHD1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.62	296217.821220681	231815.533206917	247999.19065602	288256.199863499	296189.96207295	291955.003429194	290514.318040324	256965.434127064	207501.944123206	210947.107695173
SJPG0110145.010	sp|Q00872-10|MYPC1_HUMAN	Isoform 10 of Myosin-binding protein C, slow-type OS=Homo sapiens OX=9606 GN=MYBPC1	MYBPC1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.70	581699.466979862	490101.447323952	439579.467696011	360284.341574686	466699.988023212	361798.217136022	391157.615695443	357947.074722662	496589.149862444	499805.437579247
SJPG0106543.002	tr|I3L2J0|I3L2J0_HUMAN	Protein capicua homolog OS=Homo sapiens OX=9606 GN=CIC PE=1 SV=1	CIC	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	0.32	386866.050509757	398404.363103522	417367.240112431	291627.758610258	327958.045140975	331205.887151008	331543.358616569	267219.233692144	387520.294920126	376427.984697512
SJPG0109457.001	sp|Q5PSV4|BRM1L_HUMAN	Breast cancer metastasis-suppressor 1-like protein OS=Homo sapiens OX=9606 GN=BRMS1L PE=1 SV=2	BRMS1L	-	-	O	-	-	batch1	1	1	0	2.48	432282.302164105	303948.98898077	232201.41077958	246355.856579495	338515.124301397	180764.781126765	216511.788702936	174395.486637985	283586.183681915	210934.328912951	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0104807.001	sp|P02751|FINC_HUMAN	Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5	FN1	-	-	-	-	-	batch1	1	1	0	1.45	1090872.71171727	725242.530935761	616181.954571103	654222.090143539	1122644.24190101	699372.621190627	607846.103189748	616547.740212439	705755.276041911	638661.459639204	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0117456.001	sp|Q8N119|MMP21_HUMAN	Matrix metalloproteinase-21 OS=Homo sapiens OX=9606 GN=MMP21 PE=2 SV=2	MMP21	-	-	-	-	-	batch1	2	1	1	1.58	143624.83930827	58003.242333353	57639.1114374003	62098.0034339714	139333.591304721	116320.735479446	58253.8381402951	45878.6545420434	65599.5002759819	98666.6327895039	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100119.001	sp|P16949|STMN1_HUMAN	Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3	STMN1	-	-	-	-	-	batch1	87	6	0	18.12	5109621.90109794	2178457.62529965	1995114.06045286	2195028.07604332	4118302.0700135	1962173.8235815	2022261.04355846	2157609.50556728	2270452.6036699	2118338.3323427	batch2	103	6	0	18.12	3189275.82703495	904239.793965454	2207277.83751363	2291496.67924154	3044795.75510758	1860369.58870254	1928153.18536413	2023998.9464127	876052.651887186	819152.439314869
SJPG0163038.001	co|CON_REFSEQ:XP_932229|Con	Tax_Id=9606 GN=KRT126P similar to Keratin, type II cytoskeletal 2 oral	KRT126P	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	3.49	435458.530598318	274262.769694537	315549.814795332	321316.916639408	386403.702628614	287192.771817633	183217.93375381	280633.883699793	356207.691525601	338670.34627198
SJPG0106412.001	sp|O75683|SURF6_HUMAN	Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3	SURF6	-	-	-	-	-	batch1	1	1	0	2.49	300792.422183103	354828.443815987	311328.371258624	341328.45989695	256534.300624201	380960.608708004	319194.62045214	303680.514222372	275933.745616552	431317.74097179	batch2	1	1	0	2.49	210372.744649739	288080.887328508	183690.748367649	188373.372516592	241429.14850997	206427.475201982	195617.513295367	193799.75672837	324313.426396355	309750.188543324
SJPG0112208.002	sp|Q5T0U0-2|CC122_HUMAN	Isoform 2 of Coiled-coil domain-containing protein 122 OS=Homo sapiens OX=9606 GN=CCDC122	CCDC122	-	-	-	-	-	batch1	2	1	1	3.87	596848.772826108	584924.199888918	690728.243876598	558618.758879933	485946.17637556	501122.118637566	721006.648514444	525279.291251197	631045.357220188	478352.182280941	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0104893.001	tr|B4DP52|B4DP52_HUMAN	HCG2005638, isoform CRA_c OS=Homo sapiens OX=9606 GN=hCG_2005638 PE=2 SV=1	hCG_2005638	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	5.43	115742.231764088	116262.131980914	123042.21384323	97075.0592689265	105732.604788851	94440.898097698	92736.4167763352	88490.7470327548	113921.031724532	123788.7665516
SJPG0100712.001	sp|Q9UBC2|EP15R_HUMAN	Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens OX=9606 GN=EPS15L1 PE=1 SV=1	EPS15L1	-	-	-	-	-	batch1	3	1	0	1.97	93645.5340632206	111408.953004555	109178.215209992	113909.722234637	102044.862463617	136377.897410297	107882.763341582	101877.511463485	113028.633317602	132180.225541368	batch2	7	1	0	1.97	87602.173672761	99803.5487006778	92779.8371267981	86207.6640654654	101354.144875378	90158.0122639845	82698.1736505512	83731.3554150544	93064.1704361798	104013.625196037
SJPG0117377.001	sp|Q29980|MICB_HUMAN	MHC class I polypeptide-related sequence B OS=Homo sapiens OX=9606 GN=MICB PE=1 SV=2	MICB	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	2.61	141507.994470009	231980.978966527	157224.577670193	139199.037282597	124314.881278003	152904.074141156	203838.894022961	155678.175362471	164346.980670333	155821.49002914
SJPG0103740.001	sp|O43795|MYO1B_HUMAN	Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3	MYO1B	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.50	33923.0533236147	33316.3968451133	42751.3210946338	77819.7747888377	40671.5879548954	74290.4451745586	16759.8476960795	49019.0208183227	28205.7172576342	35015.5296198783
SJPG0107040.001	sp|Q9BST9|RTKN_HUMAN	Rhotekin OS=Homo sapiens OX=9606 GN=RTKN PE=1 SV=2	RTKN	-	-	-	-	-	batch1	2	1	0	1.95	108128.277323104	118320.770390537	105078.388567572	105039.595721211	98549.8244890245	88552.3386754518	112393.135238457	91777.958601098	117178.197686386	72118.9583019973	batch2	1	1	0	1.95	168717.301839153	143627.404092574	125735.393598005	135268.481552459	155087.62023172	130156.120032076	123726.032914826	131215.319135014	118246.546539048	129765.544715642
SJPG0105859.001	sp|Q15751|HERC1_HUMAN	Probable E3 ubiquitin-protein ligase HERC1 OS=Homo sapiens OX=9606 GN=HERC1 PE=1 SV=2	HERC1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	0.16	260623.562073612	229999.183329357	203142.564947303	199754.913287585	234713.641583263	198535.047356068	209584.392166934	196009.288562491	248757.572785012	249950.701319617
SJPG0104490.010	sp|P21127-12|CD11B_HUMAN	Isoform 7 of Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B	CDK11B	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	5.24	94012.9092888463	71294.0999373526	111714.725497551	98772.1215574391	107342.696024926	81565.3294484699	80630.5916871209	97245.1120148409	80849.5659169261	72766.4982086419
SJPG0107564.001	sp|Q9UKW4|VAV3_HUMAN	Guanine nucleotide exchange factor VAV3 OS=Homo sapiens OX=9606 GN=VAV3 PE=1 SV=1	VAV3	-	-	-	-	-	batch1	3	1	0	0.83	6676109.90779302	8262023.2406707	11706694.4336715	7064763.18802092	8321173.39320936	5410952.2111159	10806247.05149	6918471.16998973	11154387.0194137	5536534.68093578	batch2	1	1	0	0.83	4428455.45792096	5731996.37121497	6097699.05086413	5319864.30229093	4141973.45085103	7707690.74857525	3748029.36263644	5663207.69948848	3533491.69756952	3238888.63985708
SJPG0101800.001	sp|P78347|GTF2I_HUMAN	General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2	GTF2I	-	O	-	-	-	batch1	4	1	0	1.10	764614.962155732	403281.473038752	417773.222053794	397911.534373034	625641.410564324	356848.320685177	404144.331926356	354173.666738442	406084.985161935	343758.531643892	batch2	3	2	0	4.21	120290.48833	78581.8012993113	103165.068340398	95605.8573304764	121941.209292993	92362.5792569576	84794.8489746284	88420.7733069552	77789.097608427	76885.448356827
